"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"lcl|CP002684.1_cds_AEE35591.1_11421",96.264244941528,0.000219749833617309,0.237350909369455,15.3145951523766,0.0179460488099921,0.0430281222175043
"lcl|CP002684.1_cds_ANM60392.1_11423",73.8477710382844,-0.24133136756437,0.301828979647075,15.3139517014222,0.0179505067686808,0.0430333907383455
"lcl|CP002686.1_cds_AEE79503.1_28348",96.1500161820405,-1.59719472383353,0.426320265132036,15.3131542496753,0.0179560331466595,0.0430428166913175
"lcl|CP002686.1_cds_AEE74287.1_21207",1615.83496094529,-0.362669809143103,0.144464325928983,15.3110197446909,0.0179708333789723,0.0430706451417897
"lcl|CP002686.1_cds_AEE78414.1_26903",2857.85328253473,0.305683792738584,0.0912213098212755,15.3112344027626,0.0179693444548603,0.0430706451417897
"lcl|CP002687.1_cds_AEE83170.1_31580",6.83019716689455,0.425039761102885,1.61078350853261,15.3077918243561,0.0179932373133216,0.0431166842464095
"lcl|CP002687.1_cds_AEE84465.1_33490",461.393782760521,-0.102338741338991,0.142050690469619,15.3078128946855,0.017993090984462,0.0431166842464095
"lcl|CP002684.1_cds_AEE31950.1_6498",63.6950629196805,-0.786380071413086,0.481280405969276,15.3042528517518,0.0180178308740663,0.043171784716363
"lcl|CP002685.1_cds_AEC09594.1_18388",7.55560650148344,-2.13725495478034,1.13913353087468,15.2991312734331,0.0180534794839015,0.0432533616036601
"lcl|CP002684.1_cds_AEE36063.1_12046",1329.87868853288,-0.169300852478451,0.0826687227357024,15.2974900607069,0.0180649173734636,0.0432754398172572
"lcl|CP002685.1_cds_AEC10454.1_19565",291.114185153107,0.0982063522694021,0.125938081960094,15.297348968993,0.0180659009891336,0.0432754398172572
"lcl|CP002688.1_cds_AED93177.1_41152",108.509409676774,0.203953790755813,0.306852031668615,15.2948826616986,0.0180831030388574,0.0433128024339767
"lcl|CP002686.1_cds_AEE76131.1_23740",1420.438078524,-0.120271215412239,0.0733818033628247,15.2940535675261,0.0180888893407078,0.0433228177502498
"lcl|CP002684.1_cds_AEE33161.1_8123",1079.64805893927,0.00571820004120678,0.11419932214422,15.2930450153837,0.0180959304796987,0.0433358363528199
"lcl|CP002686.1_cds_AEE75737.1_23198",5648.72329354456,0.297362455474212,0.107401414651447,15.2921936913589,0.0181018759822042,0.0433462290662309
"lcl|CP002688.1_cds_AED90885.1_37981",363.827982704968,-0.000816440381897027,0.0944377606967912,15.2916824703686,0.0181054471609964,0.0433509349533384
"lcl|CP002685.1_cds_AEC06292.1_13898",847.242346237565,0.299162395757464,0.0634125141046036,15.2910984473089,0.018109527729949,0.0433568595602876
"lcl|CP002686.1_cds_AEE74927.1_22106",253.737316408547,0.20174162712297,0.121445957122952,15.289825667115,0.0181184236936018,0.0433743108535905
"lcl|CP002685.1_cds_AEC08896.1_17458",12.8365488342672,-0.356515484280291,1.04113716604902,15.2861997987274,0.0181437892486872,0.04343118267084
"lcl|CP002688.1_cds_AED91262.1_38514",1154.16041693208,-0.744724421740327,0.104584862495218,15.2838724141506,0.0181600888770112,0.0434663450209293
"lcl|CP002688.1_cds_AED92968.1_40855",712.312300118733,0.00543691340229102,0.0749070367637375,15.2816686511677,0.0181755356456517,0.0434994599892475
"lcl|CP002688.1_cds_AED92125.1_39728",117.433578975142,0.758564109531021,0.185479461220441,15.2811893039359,0.018178897183736,0.043503648100866
"lcl|CP002686.1_cds_ANM63378.1_22825",1246.50967830313,0.287889204846156,0.0581687911777892,15.2794921683599,0.0181908035381816,0.0435282821301014
"lcl|CP002687.1_cds_AEE83318.1_31805",582.931071750365,0.282907995830506,0.072765279173633,15.2785755863978,0.0181972369753283,0.0435398169572781
"lcl|CP002686.1_cds_AEE76387.1_24115",141.143438963045,0.344430811510476,0.142220709884439,15.2781227472997,0.0182004162308097,0.0435435642767417
"lcl|CP002687.1_cds_AEE84260.1_33195",578.062598900874,-0.0877102123758199,0.0740896173864741,15.2746936654493,0.0182245081008659,0.0435973388580976
"lcl|CP002687.1_cds_AEE85880.1_35416",155.19768277368,0.229737322894816,0.2221481534585,15.2730605935942,0.018235992376977,0.0436209462316452
"lcl|CP002688.1_cds_AED92679.1_40461",556.50250429256,0.210447208496512,0.0731836875446753,15.2725747542129,0.0182394102887492,0.0436230846101005
"lcl|CP002686.1_cds_ANM65285.1_22123",2094.68231258031,-0.138398110637265,0.0866787139523457,15.2724741110688,0.018240118396466,0.0436230846101005
"lcl|CP002686.1_cds_AEE78441.1_26938",8.11184651330425,0.527578062913813,0.456607977690212,15.2721546506982,0.0182423662385035,0.0436245955210989
"lcl|CP002685.1_cds_AEC07862.1_16061",752.328513962167,0.102806819389698,0.0706757751200881,15.2679570951854,0.0182719264309222,0.0436875449137569
"lcl|CP002685.1_cds_AEC10574.1_19732",675.027140396494,0.0908690413343122,0.0944255495166501,15.2681270092514,0.0182707289658951,0.0436875449137569
"lcl|CP002688.1_cds_AED95664.1_44483",12.9952214992336,-0.411570054414014,0.517744847062746,15.2660171546948,0.0182856034351337,0.0437163740260384
"lcl|CP002684.1_cds_ANM60564.1_5682",5.12202517965031,3.60848926292458,1.47528833956293,15.2647369267629,0.0182946346855381,0.043730219490075
"lcl|CP002684.1_cds_AEE28570.1_1963",637.244848008117,-0.0974169420023765,0.119704640032005,15.2649424190889,0.0182931847713446,0.043730219490075
"lcl|CP002684.1_cds_AEE35111.1_10784",3285.92265406614,0.205769788524524,0.0944759700977752,15.2623505218627,0.0183114807518534,0.0437666116004543
"lcl|AP000423.1_cds_BAA84421.1_48238",123.141509422482,-0.858111005850034,0.354027091610144,15.2603562440236,0.0183255701034501,0.0437964089749917
"lcl|CP002685.1_cds_AEC06523.1_14188",426.064738425386,-0.279313106283387,0.202272755718367,15.254689781831,0.0183656596485422,0.0438883336183381
"lcl|CP002688.1_cds_AED96247.1_45273",224.402828131935,-0.378373492808654,0.191309483375193,15.2526479697901,0.0183801257766212,0.0439190152442341
"lcl|CP002684.1_cds_ANM60570.1_5136",756.756715462927,0.272384600532764,0.086088323081872,15.2521205690042,0.0183838641537011,0.0439240599190128
"lcl|CP002684.1_cds_AEE28107.1_1307",226.931035313711,0.698917927465384,0.344970529462837,15.2498022554787,0.0184003056920835,0.0439594523278257
"lcl|CP002684.1_cds_AEE34347.1_9768",12.2228390443739,0.230459456860807,0.659282775787084,15.2466829016664,0.0184224504255036,0.0440084625474375
"lcl|CP002686.1_cds_AEE78971.1_27643",90.842516170324,-0.202995838293089,0.282359171099734,15.2458576361309,0.0184283133652671,0.0440185727795789
"lcl|CP002685.1_cds_AEC07727.1_15859",375.379894742287,-1.10445563803473,0.254080564738646,15.2438875303732,0.0184423168184632,0.0440476417364181
"lcl|CP002686.1_cds_AEE73948.1_20757",981.415649636959,-0.836883850351196,0.226089291573676,15.2432275703795,0.0184470100700232,0.0440476417364181
"lcl|CP002687.1_cds_AEE84889.1_34052",32.8938153241232,-0.758902555727426,0.271393909571207,15.2433010679324,0.0184464873416577,0.0440476417364181
"lcl|CP002687.1_cds_AEE87073.1_37032",905.894972317898,-0.405782079680145,0.140718022115382,15.2435694795736,0.0184445784681316,0.0440476417364181
"lcl|CP002685.1_cds_AEC06964.1_14787",147.972778509977,0.226776958089157,0.165891546373491,15.2387573359181,0.0184788298667663,0.0441197181517327
"lcl|CP002684.1_cds_ANM59806.1_8017",224.31333313164,-0.274480745977585,0.203849865409376,15.2369404829833,0.0184917774966708,0.0441467269607439
"lcl|CP002685.1_cds_AEC10379.1_19473",3769.58863539427,-0.357464053768405,0.0569601038639522,15.2336495236953,0.0185152523027252,0.0441988610417195
"lcl|CP002688.1_cds_ANM70549.1_45287",46.5737294096905,-0.18046082089383,1.37275367481602,15.2323937985079,0.0185242170514404,0.0442163511439192
"lcl|CP002686.1_cds_AEE77178.1_25197",2120.11606417873,-0.330289427101416,0.055457546673953,15.2311124968035,0.0185333686727224,0.0442342841690068
"lcl|CP002687.1_cds_AEE82307.1_30420",14.2110209501477,-0.684516897750178,0.471130826614872,15.2305695877421,0.0185372476726346,0.04423963077315
"lcl|CP002688.1_cds_ANM71212.1_45962",182.727683312488,-0.0871588943804632,0.129562289093351,15.2291969389121,0.0185470584966221,0.0442591316352385
"lcl|CP002687.1_cds_AEE82652.1_30882",362.326208047379,-0.572341455731736,0.153276673765395,15.2241994262106,0.0185828195218572,0.0443405489413077
"lcl|CP002687.1_cds_AEE82838.1_31121",159.835641348544,0.0166201703035801,0.146929087010955,15.2170925776092,0.0186337880489318,0.0444582353361203
"lcl|CP002684.1_cds_AEE29659.1_3444",559.139328472654,-0.0266218292918473,0.1930524641673,15.2161068166437,0.0186408682277602,0.0444711972549853
"lcl|CP002684.1_cds_AEE36137.1_12140",1098.60009318836,0.588037837101322,0.117708224654008,15.2154248444631,0.0186457679644315,0.0444789554994576
"lcl|CP002684.1_cds_ANM59395.1_2237",2421.6976926167,0.119293518894718,0.109749441509211,15.2101742928834,0.0186835326474099,0.0445651038512135
"lcl|CP002684.1_cds_AEE32942.1_7832",254.14752366877,0.242628833517022,0.165135973705543,15.2078755944979,0.0187000890874466,0.0446006542522119
"lcl|CP002685.1_cds_AEC05883.1_13367",523.760010888775,0.230171727234832,0.0774181796811006,15.2070542874944,0.0187060079756782,0.0446108295163404
"lcl|CP002687.1_cds_ANM67899.1_30302",133.762500598339,-0.134964798694271,0.221620378265994,15.2018241097573,0.0187437421905615,0.0446968707325104
"lcl|CP002684.1_cds_AEE28689.1_2135",27.0662169229163,-0.0848938690653783,0.270342294020234,15.2001663535408,0.0187557176052194,0.0447214769927827
"lcl|CP002687.1_cds_AEE86027.1_35616",16935.9900672473,0.106766722534807,0.0594531183024961,15.1948705857703,0.0187940225789421,0.0448088540448651
"lcl|CP002685.1_cds_AEC05462.1_12758",37.6704913233228,0.49732166709928,0.303383281301928,15.194069248884,0.0187998252645379,0.0448147724470978
"lcl|CP002687.1_cds_AEE83387.1_31896",2299.18288430456,-0.111995245888249,0.0502498315113957,15.1941554040706,0.0187992013105864,0.0448147724470978
"lcl|CP002688.1_cds_AED91942.1_39458",171.963643707113,24.5922019591649,2.65598465600717,15.1934678681124,0.0188041811419347,0.0448211978583121
"lcl|CP002685.1_cds_ANM62186.1_17463",58.6090810505105,8.19045792148929,2.43187990142044,15.1926774836439,0.0188099074648356,0.0448286108949793
"lcl|CP002685.1_cds_AEC09360.1_18061",390.084302441658,0.358698486878138,0.0850105551390116,15.1925801768841,0.0188106125660306,0.0448286108949793
"lcl|CP002685.1_cds_ANM62493.1_16583",53.4483062699379,0.668625852465765,0.255925221004563,15.1917093224471,0.0188169240495252,0.0448396934845413
"lcl|CP002688.1_cds_AED90489.1_37441",110.144989694438,0.310824156746449,0.147063957687788,15.1905516683048,0.0188253172378031,0.0448557342675661
"lcl|CP002688.1_cds_AED91476.1_38802",31.9083369762323,-0.363308868207907,0.20760895540155,15.1859247565611,0.0188588988900031,0.0449317843456967
"lcl|CP002687.1_cds_AEE84996.1_34215",4750.2974491741,0.0966708771962154,0.0609819916131744,15.1846043153655,0.0188684930181146,0.0449506751858604
"lcl|CP002684.1_cds_AEE34749.1_10304",472.452692048199,0.0582063298517325,0.07654255141469,15.1820957198034,0.0188867329547108,0.0449901579050004
"lcl|CP002688.1_cds_AED92949.1_40825",1627.8171147991,-0.192930196661856,0.089242595840706,15.1787274800686,0.0189112498593093,0.0450445847262151
"lcl|CP002688.1_cds_AED98113.1_47781",1158.94034960522,0.272346829597412,0.0938175401215052,15.171495317736,0.018963994520566,0.0451662315235714
"lcl|CP002686.1_cds_ANM63915.1_23344",84.4504876946321,-0.513066233720511,0.233237669992325,15.170313489337,0.0189726270357673,0.0451828049584033
